"code" "name" "market" "control_date" "control_status" "main_cost_value"
"000693" "华泽钴镍" "000693.sz" "2016-01-14" "微弱控盘" 18.14
"000695" "滨海能源" "000695.sz" "2016-01-14" "微弱控盘" 20.5
"000697" "" "000697.sz" NA "" NA
"000698" "沈阳化工" "000698.sz" "2016-01-14" "微弱控盘" 7.53
"000700" "模塑科技" "000700.sz" "2016-01-14" "微弱控盘" 21.12
"000701" "厦门信达" "000701.sz" "2016-01-14" "微弱控盘" 23.65
"000702" "" "000702.sz" NA "" NA
"000703" "恒逸石化" "000703.sz" "2016-01-14" "微弱控盘" 10.96
"000705" "" "000705.sz" NA "" NA
"000707" "双环科技" "000707.sz" "2016-01-14" "微弱控盘" 8.27
"000708" "大冶特钢" "000708.sz" "2016-01-14" "微弱控盘" 11.81
"000709" "河北钢铁" "000709.sz" "2016-01-14" "中度控盘" 3.78
"000710" "天兴仪表" "000710.sz" "2016-01-14" "微弱控盘" 31.13
"000711" "" "000711.sz" NA "" NA
"000712" "锦龙股份" "000712.sz" "2016-01-14" "微弱控盘" 29.7
"000713" "丰乐种业" "000713.sz" "2016-01-14" "微弱控盘" 11.86
"000715" "" "000715.sz" NA "" NA
"000716" "黑芝麻" "000716.sz" "2016-01-14" "轻度控盘" 14.67
"000717" "韶钢松山" "000717.sz" "2016-01-14" "微弱控盘" 5.49
"000718" "苏宁环球" "000718.sz" NA "" NA
"000720" "" "000720.sz" NA "" NA
"000721" "西安饮食" "000721.sz" "2016-01-14" "微弱控盘" 8.28
"000722" "湖南发展" "000722.sz" "2016-01-14" "微弱控盘" 18.82
"000723" "美锦能源" "000723.sz" "2016-01-14" "中度控盘" 12.12
"000725" "京东方Ａ" "000725.sz" "2016-01-14" "微弱控盘" 3.15
"000726" "" "000726.sz" NA "" NA
"000727" "华东科技" "000727.sz" "2016-01-14" "微弱控盘" 9.56
"000728" "" "000728.sz" NA "" NA
"000729" "燕京啤酒" "000729.sz" "2016-01-14" "微弱控盘" 8.93
"000731" "四川美丰" "000731.sz" "2016-01-14" "微弱控盘" 9.32
"000732" "泰禾集团" "000732.sz" "2016-01-14" "轻度控盘" 25.91
"000733" "振华科技" "000733.sz" "2016-01-14" "微弱控盘" 23.62
"000735" "" "000735.sz" NA "" NA
"000736" "中房地产" "000736.sz" "2016-01-14" "微弱控盘" 17.14
"000737" "南风化工" "000737.sz" "2016-01-14" "微弱控盘" 6.37
"000738" "" "000738.sz" NA "" NA
"000739" "" "000739.sz" NA "" NA
"000748" "" "000748.sz" NA "" NA
"000750" "国海证券" "000750.sz" "2016-01-14" "微弱控盘" 12.86
"000751" "锌业股份" "000751.sz" "2016-01-14" "微弱控盘" 6.12
"000752" "西藏发展" "000752.sz" "2016-01-14" "微弱控盘" 16.51
"000753" "" "000753.sz" NA "" NA
"000756" "新华制药" "000756.sz" "2016-01-14" "微弱控盘" 12.16
"000757" "" "000757.sz" NA "" NA
"000758" "中色股份" "000758.sz" "2016-01-14" "微弱控盘" 15.31
"000759" "中百集团" "000759.sz" "2016-01-14" "微弱控盘" 8.55
"000760" "斯太尔" "000760.sz" "2016-01-14" "微弱控盘" 16.74
"000761" "" "000761.sz" NA "" NA
"000762" "西藏矿业" "000762.sz" "2016-01-14" "微弱控盘" 23.37
"000766" "通化金马" "000766.sz" NA "" NA
"000767" "漳泽电力" "000767.sz" "2016-01-14" "微弱控盘" 6.02
"000768" "中航飞机" "000768.sz" "2016-01-14" "微弱控盘" 27.22
"000776" "广发证券" "000776.sz" "2016-01-14" "微弱控盘" 20.04
"000777" "" "000777.sz" NA "" NA
"000778" "新兴铸管" "000778.sz" "2016-01-14" "微弱控盘" 7.14
"000780" "" "000780.sz" NA "" NA
"000782" "美达股份" "000782.sz" "2016-01-14" "微弱控盘" 14.22
"000783" "长江证券" "000783.sz" "2016-01-14" "微弱控盘" 12.43
"000785" "" "000785.sz" NA "" NA
"000786" "北新建材" "000786.sz" "2016-01-14" "微弱控盘" 12.38
"000788" "北大医药" "000788.sz" "2016-01-14" "微弱控盘" 14.43
"000789" "万年青" "000789.sz" "2016-01-14" "微弱控盘" 8.21
"000790" "华神集团" "000790.sz" "2016-01-14" "微弱控盘" 13.9
"000791" "甘肃电投" "000791.sz" "2016-01-14" "微弱控盘" 15.63
"000792" "盐湖股份" "000792.sz" "2016-01-14" "微弱控盘" 24
"000793" "" "000793.sz" NA "" NA
"000795" "太原刚玉" "000795.sz" "2016-01-14" "轻度控盘" 14.04
"000796" "" "000796.sz" NA "" NA
"000797" "中国武夷" "000797.sz" "2016-01-14" "微弱控盘" 22.88
"000798" "中水渔业" "000798.sz" "2016-01-14" "轻度控盘" 12.22
"000799" "*ST酒鬼" "000799.sz" "2016-01-14" "微弱控盘" 16.85
"000800" "一汽轿车" "000800.sz" "2016-01-14" "微弱控盘" 17.08
"000801" "四川九洲" "000801.sz" "2016-01-14" "微弱控盘" 28.28
"000802" "北京文化" "000802.sz" "2016-01-14" "微弱控盘" 28.88
"000803" "金宇车城" "000803.sz" NA "" NA
"000806" "银河生物" "000806.sz" NA "" NA
"000807" "云铝股份" "000807.sz" "2016-01-14" "强烈控盘" 6.9
"000809" "" "000809.sz" NA "" NA
"000810" "创维数字" "000810.sz" NA "" NA
"000811" "烟台冰轮" "000811.sz" "2016-01-14" "微弱控盘" 15.44
"000812" "陕西金叶" "000812.sz" "2016-01-14" "微弱控盘" 13.17
"000813" "天山纺织" "000813.sz" NA "" NA
"000815" "*ST美利" "000815.sz" "2016-01-14" "微弱控盘" 24.4
"000816" "" "000816.sz" NA "" NA
"000818" "方大化工" "000818.sz" "2016-01-14" "微弱控盘" 8.56
"000819" "岳阳兴长" "000819.sz" "2016-01-14" "微弱控盘" 35.29
"000820" "金城股份" "000820.sz" "2016-01-14" "微弱控盘" 15.71
"000821" "京山轻机" "000821.sz" "2016-01-14" "微弱控盘" 15.25
"000823" "" "000823.sz" NA "" NA
"000825" "太钢不锈" "000825.sz" "2016-01-14" "微弱控盘" 5.27
"000826" "启迪桑德" "000826.sz" "2016-01-14" "微弱控盘" 38.33
"000828" "东莞控股" "000828.sz" "2016-01-14" "微弱控盘" 12.7
"000829" "天音控股" "000829.sz" NA "" NA
"000830" "鲁西化工" "000830.sz" "2016-01-14" "微弱控盘" 6.98
"000831" "" "000831.sz" NA "" NA
"000833" "贵糖股份" "000833.sz" NA "" NA
"000835" "长城动漫" "000835.sz" "2016-01-14" "微弱控盘" 18.84
"000836" "" "000836.sz" NA "" NA
"000837" "秦川机床" "000837.sz" "2016-01-14" "微弱控盘" 14.93
"000838" "财信发展" "000838.sz" "2016-01-14" "强烈控盘" 48.58
"000839" "中信国安" "000839.sz" "2016-01-14" "微弱控盘" 21.16
"000848" "" "000848.sz" NA "" NA
"000850" "华茂股份" "000850.sz" "2016-01-14" "微弱控盘" 9.16
"000851" "" "000851.sz" NA "" NA
"000852" "" "000852.sz" NA "" NA
"000856" "冀东装备" "000856.sz" "2016-01-14" "微弱控盘" 12.17
"000858" "五 粮 液" "000858.sz" "2016-01-14" "微弱控盘" 26.07
"000859" "国风塑业" "000859.sz" "2016-01-14" "微弱控盘" 6.19
"000860" "顺鑫农业" "000860.sz" "2016-01-14" "高度控盘" 20.31
"000861" "海印股份" "000861.sz" "2016-01-14" "微弱控盘" 7.99
"000862" "银星能源" "000862.sz" "2016-01-14" "微弱控盘" 8.74
"000863" "三湘股份" "000863.sz" "2016-01-14" "微弱控盘" 12.7
"000868" "安凯客车" "000868.sz" "2016-01-14" "微弱控盘" 9.42
"000869" "张  裕Ａ" "000869.sz" "2016-01-14" "微弱控盘" 41.14
"000875" "吉电股份" "000875.sz" "2016-01-14" "微弱控盘" 9.26
"000876" "" "000876.sz" NA "" NA
"000877" "天山股份" "000877.sz" "2016-01-14" "微弱控盘" 8.22
"000878" "" "000878.sz" NA "" NA
"000880" "潍柴重机" "000880.sz" "2016-01-14" "微弱控盘" 15.41
"000881" "大连国际" "000881.sz" "2016-01-14" "中度控盘" 18.17
"000882" "华联股份" "000882.sz" "2016-01-14" "微弱控盘" 5.86
"000883" "湖北能源" "000883.sz" "2016-01-14" "微弱控盘" 7.26
"000885" "同力水泥" "000885.sz" "2016-01-14" "微弱控盘" 15.97
"000886" "海南高速" "000886.sz" "2016-01-14" "微弱控盘" 6.48
"000887" "中鼎股份" "000887.sz" "2016-01-14" "微弱控盘" 23.54
"000888" "峨眉山Ａ" "000888.sz" "2016-01-14" "微弱控盘" 13.1
"000889" "" "000889.sz" NA "" NA
"000890" "法 尔 胜" "000890.sz" "2016-01-14" "轻度控盘" 12.54
"000892" "*ST星美" "000892.sz" "2016-01-14" "微弱控盘" 18.02
"000893" "" "000893.sz" NA "" NA
"000895" "双汇发展" "000895.sz" "2016-01-14" "微弱控盘" 20.73
"000897" "" "000897.sz" NA "" NA
"000898" "鞍钢股份" "000898.sz" "2016-01-14" "中度控盘" 5.95
"000899" "赣能股份" "000899.sz" "2016-01-14" "微弱控盘" 11.42
"000900" "现代投资" "000900.sz" "2016-01-14" "微弱控盘" 8.53
"000901" "航天科技" "000901.sz" NA "" NA
"000902" "新洋丰" "000902.sz" "2016-01-14" "中度控盘" 27.59
"000903" "" "000903.sz" NA "" NA
"000905" "" "000905.sz" NA "" NA
"000906" "物产中拓" "000906.sz" "2016-01-14" "微弱控盘" 15.3
"000908" "景峰医药" "000908.sz" "2016-01-14" "微弱控盘" 16.45
"000909" "" "000909.sz" NA "" NA
"000910" "大亚科技" "000910.sz" "2016-01-14" "微弱控盘" 16
"000911" "南宁糖业" "000911.sz" "2016-01-14" "微弱控盘" 17.06
"000912" "*ST天化" "000912.sz" "2016-01-14" "微弱控盘" 6.92
"000913" "钱江摩托" "000913.sz" "2016-01-14" "微弱控盘" 11.29
"000915" "山大华特" "000915.sz" "2016-01-14" "微弱控盘" 35.02
"000916" "华北高速" "000916.sz" "2016-01-14" "微弱控盘" 6.5
"000917" "" "000917.sz" NA "" NA
"000918" "嘉凯城" "000918.sz" "2016-01-14" "微弱控盘" 5.65
"000919" "金陵药业" "000919.sz" "2016-01-14" "微弱控盘" 16.88
"000920" "" "000920.sz" NA "" NA
"000921" "海信科龙" "000921.sz" "2016-01-14" "微弱控盘" 10.23
"000922" "佳电股份" "000922.sz" "2016-01-14" "微弱控盘" 13.07
"000923" "" "000923.sz" NA "" NA
"000925" "众合科技" "000925.sz" NA "" NA
"000926" "" "000926.sz" NA "" NA
"000927" "*ST夏利" "000927.sz" "2016-01-14" "微弱控盘" 7.54
"000928" "中钢国际" "000928.sz" "2016-01-14" "微弱控盘" 17.08
"000929" "" "000929.sz" NA "" NA
"000930" "" "000930.sz" NA "" NA
"000931" "中 关 村" "000931.sz" "2016-01-14" "微弱控盘" 11.77
"000932" "" "000932.sz" NA "" NA
"000933" "" "000933.sz" NA "" NA
"000935" "四川双马" "000935.sz" "2016-01-14" "微弱控盘" 7.56
"000936" "华西股份" "000936.sz" "2016-01-14" "微弱控盘" 12.61
"000937" "冀中能源" "000937.sz" "2016-01-14" "轻度控盘" 5.82
"000938" "" "000938.sz" NA "" NA
"000939" "凯迪生态" "000939.sz" "2016-01-14" "微弱控盘" 13.83
"000948" "南天信息" "000948.sz" "2016-01-14" "微弱控盘" 24.39
"000949" "新乡化纤" "000949.sz" "2016-01-14" "微弱控盘" 5.2
"000950" "" "000950.sz" NA "" NA
"000951" "中国重汽" "000951.sz" "2016-01-14" "微弱控盘" 17.88
"000952" "广济药业" "000952.sz" "2016-01-14" "轻度控盘" 20.79
"000953" "河池化工" "000953.sz" "2016-01-14" "微弱控盘" 14.63
"000955" "欣龙控股" "000955.sz" "2016-01-14" "微弱控盘" 8.92
"000957" "中通客车" "000957.sz" "2016-01-14" "微弱控盘" 24.07
"000958" "东方能源" "000958.sz" "2016-01-14" "微弱控盘" 24.41
"000959" "首钢股份" "000959.sz" "2016-01-14" "中度控盘" 4.27
"000960" "锡业股份" "000960.sz" "2016-01-14" "微弱控盘" 13
