code,name,market,主力控盘日期,控盘程度,main_cost_value
000736,,000736.sz,NA,,NA
000737,,000737.sz,NA,,NA
000738,,000738.sz,NA,,NA
000739,,000739.sz,NA,,NA
000748,,000748.sz,NA,,NA
000750,,000750.sz,NA,,NA
000751,,000751.sz,NA,,NA
000752,,000752.sz,NA,,NA
000753,,000753.sz,NA,,NA
000756,,000756.sz,NA,,NA
000757,,000757.sz,NA,,NA
000758,,000758.sz,NA,,NA
000759,,000759.sz,NA,,NA
000760,,000760.sz,NA,,NA
000761,,000761.sz,NA,,NA
000762,,000762.sz,NA,,NA
000766,,000766.sz,NA,,NA
000767,,000767.sz,NA,,NA
000768,,000768.sz,NA,,NA
000776,,000776.sz,NA,,NA
000777,,000777.sz,NA,,NA
000778,,000778.sz,NA,,NA
000780,,000780.sz,NA,,NA
000782,,000782.sz,NA,,NA
000783,,000783.sz,NA,,NA
000785,,000785.sz,NA,,NA
000786,,000786.sz,NA,,NA
000788,,000788.sz,NA,,NA
000789,,000789.sz,NA,,NA
000790,,000790.sz,NA,,NA
000791,,000791.sz,NA,,NA
000792,,000792.sz,NA,,NA
000793,,000793.sz,NA,,NA
000795,,000795.sz,NA,,NA
000796,,000796.sz,NA,,NA
000797,,000797.sz,NA,,NA
000798,,000798.sz,NA,,NA
000799,,000799.sz,NA,,NA
000800,,000800.sz,NA,,NA
000801,,000801.sz,NA,,NA
000802,,000802.sz,NA,,NA
000803,,000803.sz,NA,,NA
000806,,000806.sz,NA,,NA
000807,,000807.sz,NA,,NA
000809,,000809.sz,NA,,NA
000810,,000810.sz,NA,,NA
000811,,000811.sz,NA,,NA
000812,,000812.sz,NA,,NA
000813,,000813.sz,NA,,NA
000815,,000815.sz,NA,,NA
000816,,000816.sz,NA,,NA
000818,,000818.sz,NA,,NA
000819,,000819.sz,NA,,NA
000820,,000820.sz,NA,,NA
000821,,000821.sz,NA,,NA
000823,,000823.sz,NA,,NA
000825,,000825.sz,NA,,NA
000826,,000826.sz,NA,,NA
000828,,000828.sz,NA,,NA
000829,,000829.sz,NA,,NA
000830,,000830.sz,NA,,NA
000831,,000831.sz,NA,,NA
000833,,000833.sz,NA,,NA
000835,,000835.sz,NA,,NA
000836,,000836.sz,NA,,NA
000837,,000837.sz,NA,,NA
000838,,000838.sz,NA,,NA
000839,,000839.sz,NA,,NA
000848,,000848.sz,NA,,NA
000850,,000850.sz,NA,,NA
000851,,000851.sz,NA,,NA
000852,,000852.sz,NA,,NA
000856,,000856.sz,NA,,NA
000858,,000858.sz,NA,,NA
000859,,000859.sz,NA,,NA
000860,,000860.sz,NA,,NA
000861,,000861.sz,NA,,NA
000862,,000862.sz,NA,,NA
000863,,000863.sz,NA,,NA
000868,,000868.sz,NA,,NA
000869,,000869.sz,NA,,NA
000875,,000875.sz,NA,,NA
000876,,000876.sz,NA,,NA
000877,,000877.sz,NA,,NA
000878,,000878.sz,NA,,NA
000880,,000880.sz,NA,,NA
000881,,000881.sz,NA,,NA
000882,,000882.sz,NA,,NA
000883,,000883.sz,NA,,NA
000885,,000885.sz,NA,,NA
000886,,000886.sz,NA,,NA
000887,,000887.sz,NA,,NA
000888,,000888.sz,NA,,NA
000889,,000889.sz,NA,,NA
000890,,000890.sz,NA,,NA
000892,,000892.sz,NA,,NA
000893,,000893.sz,NA,,NA
000895,,000895.sz,NA,,NA
000897,,000897.sz,NA,,NA
000898,,000898.sz,NA,,NA
000899,,000899.sz,NA,,NA
000900,,000900.sz,NA,,NA
000901,,000901.sz,NA,,NA
000902,,000902.sz,NA,,NA
000903,,000903.sz,NA,,NA
000905,,000905.sz,NA,,NA
000906,,000906.sz,NA,,NA
000908,,000908.sz,NA,,NA
000909,,000909.sz,NA,,NA
000910,,000910.sz,NA,,NA
000911,,000911.sz,NA,,NA
000912,,000912.sz,NA,,NA
000913,,000913.sz,NA,,NA
000915,,000915.sz,NA,,NA
000916,,000916.sz,NA,,NA
000917,,000917.sz,NA,,NA
000918,,000918.sz,NA,,NA
000919,,000919.sz,NA,,NA
000920,,000920.sz,NA,,NA
000921,,000921.sz,NA,,NA
000922,,000922.sz,NA,,NA
000923,,000923.sz,NA,,NA
000925,,000925.sz,NA,,NA
000926,,000926.sz,NA,,NA
000927,,000927.sz,NA,,NA
000928,,000928.sz,NA,,NA
000929,,000929.sz,NA,,NA
