"code" "name" "control_date" "main_cost_value"
"601988" "中国银行" "2015-11-16" "4.15"
"002505" "大康牧业" "2015-11-17" "6.64"
"600028" "中国石化" "2015-11-17" "6.55"
"600036" "招商银行" "2015-11-17" "16.99"
"601398" "工商银行" "2015-11-17" "4.24"
"601857" "中国石油" "2015-11-17" "10.62"
"601988" "中国银行" "2015-11-17" "4.15"
"002505" "大康牧业" "2015-11-18" "6.65"
"600028" "中国石化" "2015-11-18" "6.55"
"600036" "招商银行" "2015-11-18" "16.99"
"601398" "工商银行" "2015-11-18" "4.24"
"601857" "中国石油" "2015-11-18" "10.62"
"601988" "中国银行" "2015-11-18" "4.15"
"002505" "大康牧业" "2015-11-19" "6.75"
"600028" "中国石化" "2015-11-19" "6.55"
"600036" "招商银行" "2015-11-19" "16.99"
"601398" "工商银行" "2015-11-19" "4.24"
"601857" "中国石油" "2015-11-19" "10.62"
"601988" "中国银行" "2015-11-19" "4.15"
"002505" "大康牧业" "2015-11-20" "6.79"
"600028" "中国石化" "2015-11-20" "6.54"
"600036" "招商银行" "2015-11-20" "16.99"
"601398" "工商银行" "2015-11-20" "4.24"
"601857" "中国石油" "2015-11-20" "10.62"
"601988" "中国银行" "2015-11-20" "4.15"
"002505" "大康牧业" "2015-11-23" "6.81"
"600028" "中国石化" "2015-11-23" "6.54"
"600036" "招商银行" "2015-11-23" "17"
"601398" "工商银行" "2015-11-23" "4.24"
"601857" "中国石油" "2015-11-23" "10.62"
"601988" "中国银行" "2015-11-23" "4.15"
"002505" "大康牧业" "2015-11-24" "6.86"
"600028" "中国石化" "2015-11-24" "6.54"
"600036" "招商银行" "2015-11-24" "17"
"601398" "工商银行" "2015-11-24" "4.24"
"601857" "中国石油" "2015-11-24" "10.62"
"601988" "中国银行" "2015-11-24" "4.15"
"002505" "大康牧业" "2015-11-30" "6.9"
"600028" "中国石化" "2015-11-27" "6.53"
"600036" "招商银行" "2015-11-27" "17"
"601398" "工商银行" "2015-11-27" "4.24"
"601857" "中国石油" "2015-11-27" "10.62"
"601988" "中国银行" "2015-11-27" "4.15"
"002505" "大康牧业" "2015-12-17" "7.05"
"600028" "中国石化" "2015-12-17" "6.51"
"600036" "招商银行" "2015-12-17" "17.01"
"601398" "工商银行" "2015-12-17" "4.25"
"601857" "中国石油" "2015-12-17" "10.61"
"601988" "中国银行" "2015-12-17" "4.15"
